platform_id,platform_name,asset_id,created_at
P003,TCBS,A001,2026-01-06 09:09:17.377511+00
P005,VPS,A001,2026-01-06 09:09:17.377511+00
P712,AAS,A001,2026-01-06 14:45:17.990927+00
P085,VNDIRECT,A001,2026-01-06 14:47:23.234991+00
P591,TCBS VO,A001,2026-01-06 14:47:45.740546+00
P975,DNSE,A001,2026-01-06 15:00:40.390441+00
P004,MBB,A003,2026-01-06 09:09:17.377511+00
P543,VÀNG THƯƠNG HIỆU,A636,2026-01-07 01:38:16.771366+00
P018,VANTAGE,A002,2026-01-07 15:43:13.208128+00
P254,BINANCE,A279,2026-01-11 02:25:57.413498+00