ticker,price,updated_at
ACB,23650,2026-02-11T10:04:03.181Z
FPT,98600,2026-02-11T10:04:03.181Z
VND,18400,2026-02-11T10:04:03.181Z
VIB,16950,2026-02-11T10:04:03.181Z
TPB,17350,2026-02-11T10:04:03.181Z
TCB,35300,2026-02-11T10:04:03.181Z
NTC,154000,2026-02-11T04:12:36.113Z
NLG,28900,2026-02-11T10:04:03.181Z
MSN,78000,2026-02-11T10:04:03.181Z
HPG,26850,2026-02-11T10:04:03.181Z
HDG,26800,2026-02-11T10:04:03.181Z
SHS,17900,2026-02-11T04:12:36.113Z
CTS,30100,2026-02-11T04:12:36.113Z
CTR,92900,2026-02-11T04:12:36.113Z
NKG,14850,2026-02-11T04:12:36.113Z
DGC,68500,2026-02-11T10:04:03.181Z
ACV,54300,2026-02-11T10:04:03.181Z
LHG,29100,2026-02-11T10:04:03.181Z
MBB,29000,2026-02-11T10:04:03.181Z
MSB,12000,2026-02-11T10:04:03.181Z
OCB,11600,2026-02-11T10:04:03.181Z
VCB,64700,2026-02-11T10:04:03.181Z
VHC,60000,2026-02-11T10:04:03.181Z
VHM,103000,2026-02-11T10:04:03.181Z
VPB,28300,2026-02-11T10:04:03.181Z
VRE,29400,2026-02-11T10:04:03.181Z
HDB,27800,2026-02-11T10:04:03.181Z
STB,61100,2026-02-11T10:04:03.181Z
SSI,31200,2026-02-11T10:04:03.181Z
HCM,23400,2026-02-11T10:04:03.181Z
VCI,35550,2026-02-11T10:04:03.181Z
BWE,43500,2026-02-11T10:04:03.181Z
DHC,37650,2026-02-11T10:04:03.181Z
DHG,103400,2026-02-11T10:04:03.181Z
DPR,39300,2026-02-11T10:04:03.181Z
HAX,11250,2026-02-11T10:04:03.181Z
IMP,53900,2026-02-11T10:04:03.181Z
MWG,91900,2026-02-11T10:04:03.181Z
PHR,58000,2026-02-11T10:04:03.181Z
PNJ,115900,2026-02-11T10:04:03.181Z
POW,13200,2026-02-11T10:04:03.181Z
PTB,54000,2026-02-11T10:04:03.181Z
REE,61800,2026-02-11T10:04:03.181Z
TDM,59700,2026-02-11T10:04:03.181Z
VCS,43800,2026-02-11T10:04:03.181Z
VSC,23500,2026-02-11T10:04:03.181Z
QNS,49100,2026-02-11T10:04:03.181Z
PVS,42800,2026-02-11T10:04:03.181Z
BMP,157000,2026-02-11T10:04:03.181Z
GAS,102000,2026-02-11T10:04:03.181Z
HND,10800,2026-02-11T10:04:03.181Z
NT2,26900,2026-02-11T10:04:03.181Z
PLX,51700,2026-02-11T10:04:03.181Z
PVT,20150,2026-02-11T10:04:03.181Z
QTP,12500,2026-02-11T10:04:03.181Z
VEA,35300,2026-02-11T10:04:03.181Z
VNM,69100,2026-02-11T10:04:03.181Z
IDC,46500,2026-02-11T10:04:03.181Z
DCM,39500,2026-02-11T10:04:03.181Z
DPM,25250,2026-02-11T10:04:03.181Z
SIP,85800,2026-02-11T10:04:03.181Z